"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"482" "Arizona Coyotes" 9 2021 FALSE FALSE
"483" "Boston Bruins" 12 2021 FALSE FALSE
"484" "Buffalo Sabres" 10 2021 FALSE FALSE
"485" "Calgary Flames" 4 2021 FALSE FALSE
"486" "Carolina Hurricanes" 7 2021 FALSE FALSE
"487" "Chicago Blackhawks" 12 2021 FALSE FALSE
"488" "Colorado Avalanche" 10 2021 FALSE FALSE
"489" "Columbus Blue Jackets" 8 2021 FALSE FALSE
"490" "Dallas Stars" 9 2021 FALSE FALSE
"491" "Detroit Red Wings" 11 2021 FALSE FALSE
"492" "Edmonton Oilers" 5 2021 FALSE FALSE
"493" "Florida Panthers" 8 2021 FALSE FALSE
"494" "Los Angeles Kings" 5 2021 FALSE FALSE
"495" "Minnesota Wild" 14 2021 FALSE FALSE
"496" "Montreal Canadiens" 11 2021 FALSE FALSE
"497" "Nashville Predators" 12 2021 FALSE FALSE
"498" "New Jersey Devils" 16 2021 FALSE FALSE
"499" "New York Islanders" 11 2021 FALSE FALSE
"500" "New York Rangers" 7 2021 FALSE FALSE
"501" "Ottawa Senators" 8 2021 FALSE FALSE
"502" "Philadelphia Flyers" 17 2021 FALSE FALSE
"503" "Pittsburgh Penguins" 7 2021 FALSE FALSE
"504" "San Jose Sharks" 13 2021 FALSE FALSE
"505" "Seattle Kraken" 14 2021 FALSE FALSE
"506" "St. Louis Blues" 15 2021 FALSE FALSE
"507" "Tampa Bay Lightning" 6 2021 FALSE FALSE
"508" "Toronto Maple Leafs" 6 2021 FALSE FALSE
"509" "Vancouver Canucks" 9 2021 FALSE FALSE
"510" "Vegas Golden Knights" 10 2021 FALSE FALSE
"511" "Washington Capitals" 7 2021 FALSE FALSE
"512" "Winnipeg Jets" 9 2021 FALSE FALSE
"513" "Boston Bruins" 1 2021 TRUE TRUE
"514" "Calgary Flames" 1 2021 TRUE TRUE
"515" "Dallas Stars" 2 2021 TRUE TRUE
"516" "Edmonton Oilers" 3 2021 TRUE TRUE
"517" "Florida Panthers" 2 2021 TRUE TRUE
"518" "New York Rangers" 4 2021 TRUE TRUE
"519" "Pittsburgh Penguins" 2 2021 TRUE TRUE
"520" "St. Louis Blues" 1 2021 TRUE TRUE
"521" "Tampa Bay Lightning" 2 2021 TRUE TRUE
"522" "Toronto Maple Leafs" 1 2021 TRUE TRUE
"523" "Washington Capitals" 1 2021 TRUE TRUE
"524" "Boston Bruins" 2 2021 TRUE FALSE
"525" "Calgary Flames" 1 2021 TRUE FALSE
"526" "Carolina Hurricanes" 2 2021 TRUE FALSE
"527" "Colorado Avalanche" 1 2021 TRUE FALSE
"528" "Edmonton Oilers" 1 2021 TRUE FALSE
"529" "Florida Panthers" 2 2021 TRUE FALSE
"530" "Los Angeles Kings" 1 2021 TRUE FALSE
"531" "Minnesota Wild" 1 2021 TRUE FALSE
"532" "New York Rangers" 4 2021 TRUE FALSE
"533" "St. Louis Blues" 2 2021 TRUE FALSE
"534" "Tampa Bay Lightning" 2 2021 TRUE FALSE
"535" "Toronto Maple Leafs" 1 2021 TRUE FALSE
"536" "Washington Capitals" 1 2021 TRUE FALSE
