"team_name" "Number of Pulls " "year" "playoff" "one_goal"
"112" "St. Louis Blues" 8 2017 FALSE TRUE
"113" "Tampa Bay Lightning" 7 2017 FALSE TRUE
"114" "Toronto Maple Leafs" 12 2017 FALSE TRUE
"115" "Vancouver Canucks" 13 2017 FALSE TRUE
"116" "Vegas Golden Knights" 12 2017 FALSE TRUE
"117" "Washington Capitals" 11 2017 FALSE TRUE
"118" "Winnipeg Jets" 6 2017 FALSE TRUE
"119" "Anaheim Ducks" 10 2017 FALSE FALSE
"120" "Arizona Coyotes" 12 2017 FALSE FALSE
"121" "Boston Bruins" 8 2017 FALSE FALSE
"122" "Buffalo Sabres" 10 2017 FALSE FALSE
"123" "Calgary Flames" 11 2017 FALSE FALSE
"124" "Carolina Hurricanes" 8 2017 FALSE FALSE
"125" "Chicago Blackhawks" 16 2017 FALSE FALSE
"126" "Colorado Avalanche" 10 2017 FALSE FALSE
"127" "Columbus Blue Jackets" 10 2017 FALSE FALSE
"128" "Dallas Stars" 10 2017 FALSE FALSE
"129" "Detroit Red Wings" 7 2017 FALSE FALSE
"130" "Edmonton Oilers" 6 2017 FALSE FALSE
"131" "Florida Panthers" 6 2017 FALSE FALSE
"132" "Los Angeles Kings" 5 2017 FALSE FALSE
"133" "Minnesota Wild" 7 2017 FALSE FALSE
"134" "Montreal Canadiens" 13 2017 FALSE FALSE
"135" "Nashville Predators" 4 2017 FALSE FALSE
"136" "New Jersey Devils" 7 2017 FALSE FALSE
"137" "New York Islanders" 9 2017 FALSE FALSE
"138" "New York Rangers" 12 2017 FALSE FALSE
"139" "Ottawa Senators" 13 2017 FALSE FALSE
"140" "Philadelphia Flyers" 8 2017 FALSE FALSE
"141" "Pittsburgh Penguins" 9 2017 FALSE FALSE
"142" "San Jose Sharks" 10 2017 FALSE FALSE
"143" "St. Louis Blues" 10 2017 FALSE FALSE
"144" "Tampa Bay Lightning" 4 2017 FALSE FALSE
"145" "Toronto Maple Leafs" 13 2017 FALSE FALSE
"146" "Vancouver Canucks" 7 2017 FALSE FALSE
"147" "Vegas Golden Knights" 8 2017 FALSE FALSE
"148" "Washington Capitals" 7 2017 FALSE FALSE
"149" "Winnipeg Jets" 5 2017 FALSE FALSE
"150" "Anaheim Ducks" 2 2017 TRUE TRUE
"151" "Boston Bruins" 2 2017 TRUE TRUE
"152" "Colorado Avalanche" 2 2017 TRUE TRUE
"153" "Los Angeles Kings" 3 2017 TRUE TRUE
"154" "Minnesota Wild" 2 2017 TRUE TRUE
"155" "Nashville Predators" 2 2017 TRUE TRUE
"156" "New Jersey Devils" 1 2017 TRUE TRUE
