"Team" "Comeback%" "Comeback_oppertunities" "Meltdown%" "Meltdown_oppertunities" "year" "playoff"
"83" "Philadelphia Flyers" 0.272727272727273 11 0.0833333333333333 12 2018 FALSE
"84" "Pittsburgh Penguins" 0 7 0.272727272727273 11 2018 FALSE
"85" "San Jose Sharks" 0.333333333333333 9 0 11 2018 FALSE
"86" "St. Louis Blues" 0.0769230769230769 13 0.307692307692308 13 2018 FALSE
"87" "Tampa Bay Lightning" 0 4 0.0714285714285714 14 2018 FALSE
"88" "Toronto Maple Leafs" 0.0833333333333333 12 0.0588235294117647 17 2018 FALSE
"89" "Vancouver Canucks" 0.0714285714285714 14 0.285714285714286 7 2018 FALSE
"90" "Vegas Golden Knights" 0 13 0.0769230769230769 13 2018 FALSE
"91" "Washington Capitals" 0.0909090909090909 11 0.1875 16 2018 FALSE
"92" "Winnipeg Jets" 0.125 8 0.142857142857143 21 2018 FALSE
"93" "Anaheim Ducks" 0.214285714285714 14 0.125 8 2019 FALSE
"94" "Arizona Coyotes" 0 17 0.181818181818182 11 2019 FALSE
"95" "Boston Bruins" 0.222222222222222 9 0.0769230769230769 13 2019 FALSE
"96" "Buffalo Sabres" 0.230769230769231 13 0.0909090909090909 11 2019 FALSE
"97" "Calgary Flames" 0.333333333333333 12 0.0909090909090909 11 2019 FALSE
"98" "Carolina Hurricanes" 0.1 10 0.111111111111111 9 2019 FALSE
"99" "Chicago Blackhawks" 0.0588235294117647 17 0 6 2019 FALSE
"100" "Colorado Avalanche" 0.1 10 0.125 16 2019 FALSE
"101" "Columbus Blue Jackets" 0.1 10 0.125 16 2019 FALSE
"102" "Dallas Stars" 0.0909090909090909 11 0.272727272727273 11 2019 FALSE
"103" "Detroit Red Wings" 0.0769230769230769 13 0.153846153846154 13 2019 FALSE
"104" "Edmonton Oilers" 0.111111111111111 9 0 13 2019 FALSE
"105" "Florida Panthers" 0.142857142857143 14 0 10 2019 FALSE
"106" "Los Angeles Kings" 0.142857142857143 21 0.363636363636364 11 2019 FALSE
"107" "Minnesota Wild" 0 9 0.2 15 2019 FALSE
"108" "Montreal Canadiens" 0.0555555555555556 18 0.5 8 2019 FALSE
"109" "Nashville Predators" 0.142857142857143 7 0.176470588235294 17 2019 FALSE
"110" "New Jersey Devils" 0.2 5 0.0909090909090909 11 2019 FALSE
"111" "New York Islanders" 0.307692307692308 13 0 10 2019 FALSE
"112" "New York Rangers" 0.1 10 0.214285714285714 14 2019 FALSE
"113" "Ottawa Senators" 0 10 0.142857142857143 7 2019 FALSE
"114" "Philadelphia Flyers" 0 4 0.166666666666667 6 2019 FALSE
