"team_name" "Average Pull Time" "year" "playoff" "one_goal" "Number of Pulls " "tot"
"488" "Colorado Avalanche" 96.3030303030303 2021 FALSE FALSE 10 963.030303030303
"489" "Columbus Blue Jackets" 73.9047619047619 2021 FALSE FALSE 8 591.238095238095
"490" "Dallas Stars" 89.1025641025641 2021 FALSE FALSE 9 801.923076923077
"491" "Detroit Red Wings" 131.909090909091 2021 FALSE FALSE 11 1451
"492" "Edmonton Oilers" 80.5384615384615 2021 FALSE FALSE 5 402.692307692308
"493" "Florida Panthers" 108.454545454545 2021 FALSE FALSE 8 867.636363636364
"494" "Los Angeles Kings" 99.8181818181818 2021 FALSE FALSE 5 499.090909090909
"495" "Minnesota Wild" 122.754098360656 2021 FALSE FALSE 14 1718.55737704918
"496" "Montreal Canadiens" 123.04347826087 2021 FALSE FALSE 11 1353.47826086957
"497" "Nashville Predators" 103.037037037037 2021 FALSE FALSE 12 1236.44444444444
"498" "New Jersey Devils" 98.9807692307692 2021 FALSE FALSE 16 1583.69230769231
"499" "New York Islanders" 67.825 2021 FALSE FALSE 11 746.075
"500" "New York Rangers" 106.0625 2021 FALSE FALSE 7 742.4375
"501" "Ottawa Senators" 98.6 2021 FALSE FALSE 8 788.8
"502" "Philadelphia Flyers" 109.061224489796 2021 FALSE FALSE 17 1854.04081632653
"503" "Pittsburgh Penguins" 149.84 2021 FALSE FALSE 7 1048.88
"504" "San Jose Sharks" 86.7368421052632 2021 FALSE FALSE 13 1127.57894736842
"505" "Seattle Kraken" 107.040816326531 2021 FALSE FALSE 14 1498.57142857143
"506" "St. Louis Blues" 102.255319148936 2021 FALSE FALSE 15 1533.82978723404
"507" "Tampa Bay Lightning" 167.555555555556 2021 FALSE FALSE 6 1005.33333333333
"508" "Toronto Maple Leafs" 169.5 2021 FALSE FALSE 6 1017
"509" "Vancouver Canucks" 111.692307692308 2021 FALSE FALSE 9 1005.23076923077
"510" "Vegas Golden Knights" 113.890909090909 2021 FALSE FALSE 10 1138.90909090909
"511" "Washington Capitals" 61.5294117647059 2021 FALSE FALSE 7 430.705882352941
"512" "Winnipeg Jets" 90.36 2021 FALSE FALSE 9 813.24
"513" "Boston Bruins" 10 2021 TRUE TRUE 1 10
"514" "Calgary Flames" 97.5 2021 TRUE TRUE 1 97.5
"515" "Dallas Stars" 83.6666666666667 2021 TRUE TRUE 2 167.333333333333
"516" "Edmonton Oilers" 59.5882352941176 2021 TRUE TRUE 3 178.764705882353
"517" "Florida Panthers" 129.444444444444 2021 TRUE TRUE 2 258.888888888889
"518" "New York Rangers" 66.8181818181818 2021 TRUE TRUE 4 267.272727272727
"519" "Pittsburgh Penguins" 52.25 2021 TRUE TRUE 2 104.5
"520" "St. Louis Blues" 71 2021 TRUE TRUE 1 71
"521" "Tampa Bay Lightning" 58.5555555555556 2021 TRUE TRUE 2 117.111111111111
"522" "Toronto Maple Leafs" 62.25 2021 TRUE TRUE 1 62.25
"523" "Washington Capitals" 105 2021 TRUE TRUE 1 105
"524" "Boston Bruins" 121.3 2021 TRUE FALSE 2 242.6
"525" "Calgary Flames" 31.75 2021 TRUE FALSE 1 31.75
"526" "Carolina Hurricanes" 110.466666666667 2021 TRUE FALSE 2 220.933333333333
"527" "Colorado Avalanche" 117 2021 TRUE FALSE 1 117
"528" "Edmonton Oilers" 186.5 2021 TRUE FALSE 1 186.5
"529" "Florida Panthers" 203.75 2021 TRUE FALSE 2 407.5
"530" "Los Angeles Kings" 108 2021 TRUE FALSE 1 108
"531" "Minnesota Wild" 141.4 2021 TRUE FALSE 1 141.4
"532" "New York Rangers" 71.6666666666667 2021 TRUE FALSE 4 286.666666666667
"533" "St. Louis Blues" 133.857142857143 2021 TRUE FALSE 2 267.714285714286
"534" "Tampa Bay Lightning" 94 2021 TRUE FALSE 2 188
"535" "Toronto Maple Leafs" 27 2021 TRUE FALSE 1 27
"536" "Washington Capitals" 102.833333333333 2021 TRUE FALSE 1 102.833333333333
